Month,Date,AOV/ATV,Persentase perubahan
January ,1/1/2015,39.33115942,0%
January ,1/2/2015,40.77462687,0.67%
January ,1/3/2015,40.33939394,-2.54%
January ,1/4/2015,33.75865385,-34.07%
January ,1/5/2015,38.25833333,17.69%
January ,1/6/2015,37.95234375,17.57%
January ,1/7/2015,37.96896552,-9.34%
January ,1/8/2015,39.42152778,28.89%
January ,1/9/2015,34.31209677,-25.05%
January ,1/10/2015,37.90692308,15.82%
January ,1/11/2015,36.00576923,-24.01%
January ,1/12/2015,34.89181818,2.50%
January ,1/13/2015,42.7,6.80%
January ,1/14/2015,40.76451613,23.31%
January ,1/15/2015,32.01290323,-21.47%
January ,1/16/2015,38.71865672,30.70%
January ,1/17/2015,37.52909091,-20.43%
January ,1/18/2015,38.76176471,-4.23%
January ,1/19/2015,42.62767857,20.76%
January ,1/20/2015,37.4671875,0.45%
January ,1/21/2015,40.01078431,-14.90%
January ,1/22/2015,36.71617647,22.35%
January ,1/23/2015,35.12608696,-2.92%
January ,1/24/2015,36.33730159,-5.55%
January ,1/25/2015,36.7625,-29.34%
January ,1/26/2015,34.26181818,16.50%
January ,1/27/2015,38.30378788,34.16%
January ,1/28/2015,39.52941176,-20.25%
January ,1/29/2015,35.2637931,1.45%
January ,1/30/2015,34.92769231,11.00%
January ,1/31/2015,44.775,6.50%
February ,2/1/2015,36.65747126,31.90%
February ,2/2/2015,36.96190476,-26.98%
February ,2/3/2015,42.17419355,12.29%
February ,2/4/2015,39.19122807,-14.57%
February ,2/5/2015,36.93,-0.81%
February ,2/6/2015,38.02954545,13.28%
February ,2/7/2015,36.68278689,-10.85%
February ,2/8/2015,38.39622642,-9.06%
February ,2/9/2015,40.65462963,7.88%
February ,2/10/2015,34.8559322,-6.32%
February ,2/11/2015,35.65217391,19.62%
February ,2/12/2015,37.22068966,-12.24%
February ,2/13/2015,38.79577465,27.59%
February ,2/14/2015,40.68684211,-15.81%
February ,2/15/2015,38.93181818,-7.67%
February ,2/16/2015,40.17959184,-8.05%
February ,2/17/2015,34.7852459,7.78%
February ,2/18/2015,43.32540984,24.55%
February ,2/19/2015,36.25446429,-23.18%
February ,2/20/2015,39.60479452,42.40%
February ,2/21/2015,37.69642857,-26.98%
February ,2/22/2015,42.70135135,-25.16%
February ,2/23/2015,40.15833333,37.25%
February ,2/24/2015,37.83706897,1.20%
February ,2/25/2015,37.16349206,6.69%
February ,2/26/2015,41.11454545,-3.42%
February ,2/27/2015,40.2528169,26.39%
February ,2/28/2015,43.0440678,-11.14%
March ,3/1/2015,32.62346939,-37.06%
March ,3/2/2015,41.01810345,48.83%
March ,3/3/2015,43.16792453,-3.83%
March ,3/4/2015,41.42881356,6.84%
March ,3/5/2015,36.72890625,-3.83%
March ,3/6/2015,38.09015152,6.95%
March ,3/7/2015,41.38706897,-4.51%
March ,3/8/2015,35.29274194,-8.84%
March ,3/9/2015,41.68839286,6.69%
March ,3/10/2015,40.48644068,2.32%
March ,3/11/2015,35.60806452,-7.58%
March ,3/12/2015,39.11568627,-9.64%
March ,3/13/2015,39.24859155,39.69%
March ,3/14/2015,36.41875,-26.81%
March ,3/15/2015,42.21632653,1.43%
March ,3/16/2015,34.77348485,10.95%
March ,3/17/2015,41.76478873,29.20%
March ,3/18/2015,33.47419355,-30.01%
March ,3/19/2015,41.18275862,15.09%
March ,3/20/2015,37.29166667,3.04%
March ,3/21/2015,40.48928571,-7.88%
March ,3/22/2015,34.03378378,-44.46%
March ,3/23/2015,36.59918033,77.29%
March ,3/24/2015,36.03833333,-3.15%
March ,3/25/2015,34.42410714,-10.85%
March ,3/26/2015,34.08461538,14.93%
March ,3/27/2015,38.65915493,23.89%
March ,3/28/2015,37.535,-17.95%
March ,3/29/2015,39.89351852,-4.34%
March ,3/30/2015,36.37822581,4.70%
March ,3/31/2015,44.46129032,22.22%
April ,4/1/2015,32.49029851,-21.03%
April ,4/2/2015,41.08306452,17.01%
April ,4/3/2015,39.659375,-0.35%
April ,4/4/2015,41.93257576,9.04%
April ,4/5/2015,38.197,-30.99%
April ,4/6/2015,43.70583333,37.31%
April ,4/7/2015,36.62704918,-14.80%
April ,4/8/2015,38.2325,2.67%
April ,4/9/2015,39.37115385,-10.75%
April ,4/10/2015,41.10084746,18.45%
April ,4/11/2015,40.37698413,4.90%
April ,4/12/2015,37.62830189,-21.60%
April ,4/13/2015,37.82121212,25.17%
April ,4/14/2015,50.114,0.38%
April ,4/15/2015,38.49029851,2.92%
April ,4/16/2015,36.69,-21.75%
April ,4/17/2015,41.80703125,32.59%
April ,4/18/2015,36.87419355,-14.56%
April ,4/19/2015,30.559,-33.17%
April ,4/20/2015,35.135,60.96%
April ,4/21/2015,35.69596774,-10.01%
April ,4/22/2015,37.17711864,-0.89%
April ,4/23/2015,42.56403509,10.61%
April ,4/24/2015,41.96056338,22.80%
April ,4/25/2015,33.69677419,-29.87%
April ,4/26/2015,31.56071429,-15.40%
April ,4/27/2015,32.54925373,23.39%
April ,4/28/2015,36.30833333,-20.08%
April ,4/29/2015,34.50471698,4.93%
April ,4/30/2015,42.34126984,45.86%
May ,5/1/2015,34.29266667,-3.58%
May ,5/2/2015,35.29705882,-6.68%
May ,5/3/2015,37.39285714,-23.66%
May ,5/4/2015,41.61636364,24.92%
May ,5/5/2015,34.97142857,-25.13%
May ,5/6/2015,41.99636364,34.79%
May ,5/7/2015,38.42844828,-3.50%
May ,5/8/2015,42.99014085,36.95%
May ,5/9/2015,42.29285714,-22.41%
May ,5/10/2015,41.60636364,-3.38%
May ,5/11/2015,39.80083333,4.36%
May ,5/12/2015,37.09193548,-3.70%
May ,5/13/2015,35.9015873,-1.65%
May ,5/14/2015,39.05072464,19.13%
May ,5/15/2015,36.02287234,25.67%
May ,5/16/2015,37.39508197,-32.63%
May ,5/17/2015,37.31428571,-19.85%
May ,5/18/2015,38.76578947,20.85%
May ,5/19/2015,43.19565217,-10.08%
May ,5/20/2015,37.078125,19.43%
May ,5/21/2015,35.5612069,-13.08%
May ,5/22/2015,37.11408451,27.76%
May ,5/23/2015,41.42627119,-7.25%
May ,5/24/2015,37.23644068,-10.11%
May ,5/25/2015,37.57857143,-4.21%
